NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
3,부산광역시 부산진구 전포동,930,930.0,0.0,서면가화만사성더테라스,전세,67.3423,202508,14,"26,100",0,8.0,2025.0,진남로 412,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 진남로 412,
5,부산광역시 부산진구 가야동,588,588.0,0.0,반도보라빌,전세,84.8598,202508,14,"28,000",0,13.0,2005.0,가야공원로 41,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 가야동 가야공원로 41,40000.0
6,부산광역시 부산진구 가야동,700,700.0,0.0,가야롯데캐슬골드아너,전세,84.9919,202508,14,"50,000",0,5.0,2022.0,가야대로 538,202511~202711,신규,-,,,아파트,,,,부산광역시 부산진구 가야동 가야대로 538,76900.0
7,부산광역시 서구 서대신동1가,283,283.0,0.0,대신푸르지오1차,전세,39.9303,202508,14,"17,500",0,4.0,2018.0,대영로38번길 11,202510~202710,신규,-,,,아파트,,,,부산광역시 서구 서대신동1가 대영로38번길 11,61200.0
8,부산광역시 부산진구 양정동,458-5,458.0,5.0,현대1차,전세,42.63,202508,14,"14,000",0,19.0,1997.0,동평로 352,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 양정동 동평로 352,26600.0
10,부산광역시 부산진구 부암동,304-14,304.0,14.0,시민공원일동미라주시티,전세,49.8344,202508,14,"18,200",0,6.0,2022.0,동평로 192,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 부암동 동평로 192,23300.0
11,부산광역시 부산진구 범천동,865,865.0,0.0,서면유림노르웨이숲,전세,84.9959,202508,14,"31,000",0,9.0,2014.0,신천대로 71,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 신천대로 71,42000.0
14,부산광역시 동래구 온천동,1846,1846.0,0.0,e편한세상동래아시아드,전세,84.9754,202508,14,"45,000",0,21.0,2020.0,아시아드대로 202,202510~202710,신규,-,,,아파트,,,,부산광역시 동래구 온천동 아시아드대로 202,69500.0
15,부산광역시 남구 용호동,176-30,176.0,30.0,엘지메트로시티2,전세,119.25,202508,14,"60,000",0,3.0,2002.0,분포로 111,202508~202708,신규,-,,,아파트,,,,부산광역시 남구 용호동 분포로 111,54000.0
17,부산광역시 동래구 온천동,707,707.0,0.0,동래럭키,전세,132.492,202508,14,"32,000",0,6.0,1985.0,충렬대로107번길 54,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 온천동 충렬대로107번길 54,100000.0
19,부산광역시 북구 만덕동,963,963.0,0.0,백양산베스티움에코포레,전세,84.9543,202508,14,"25,000",0,3.0,2022.0,상리로 86,202509~202709,신규,-,,,아파트,,,,부산광역시 북구 만덕동 상리로 86,23500.0
22,부산광역시 해운대구 반여동,1660,1660.0,0.0,센텀롯데캐슬2차,전세,59.9675,202508,14,"17,000",0,2.0,2005.0,반여로 68-12,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 반여동 반여로 68-12,34000.0
25,부산광역시 강서구 신호동,302-2,302.0,2.0,부산신호사랑으로부영5차,전세,84.8849,202508,14,"15,230",0,8.0,2014.0,신호산단1로 101,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 신호동 신호산단1로 101,
27,부산광역시 연제구 연산동,675-3,675.0,3.0,엘리시움,전세,55.7016,202508,14,"16,000",0,4.0,2017.0,중앙대로1124번길 14,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 연산동 중앙대로1124번길 14,21500.0
28,부산광역시 강서구 신호동,296-1,296.0,1.0,부산신호사랑으로부영1차,전세,84.3616,202508,14,"14,326",0,16.0,2013.0,신호산단3로 27,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 신호동 신호산단3로 27,39000.0
30,부산광역시 강서구 신호동,298-1,298.0,1.0,부산신호사랑으로부영2차,전세,59.9284,202508,14,"11,030",0,16.0,2014.0,신호산단4로 27,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 신호동 신호산단4로 27,36000.0
33,부산광역시 수영구 남천동,613,613.0,0.0,남천자이,전세,84.985,202508,14,"58,000",0,27.0,2023.0,남천동로 46,202510~202710,신규,-,,,아파트,,,,부산광역시 수영구 남천동 남천동로 46,133000.0
35,부산광역시 사상구 학장동,168-8,168.0,8.0,구학마을,전세,46.32,202508,14,"8,000",0,2.0,1993.0,학감대로49번길 28-19,202508~202708,신규,-,,,아파트,,,,부산광역시 사상구 학장동 학감대로49번길 28-19,7000.0
37,부산광역시 해운대구 좌동,1328,1328.0,0.0,영남,전세,59.585,202508,14,"18,000",0,5.0,1996.0,좌동순환로311번길 8,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로311번길 8,57500.0
38,부산광역시 강서구 강동동,4831-16,4831.0,16.0,에코델타시티푸르지오센터파크,전세,74.4248,202508,14,"22,000",0,5.0,2025.0,에코델타1로 66,202511~202804,신규,-,,,아파트,,,,부산광역시 강서구 강동동 에코델타1로 66,
39,부산광역시 해운대구 좌동,1450,1450.0,0.0,SKVIEW,전세,59.91,202508,14,"21,000",0,11.0,1998.0,청사포로 12,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 청사포로 12,22900.0
40,부산광역시 금정구 남산동,96-1,96.0,1.0,거성리젠시,전세,54.0452,202508,13,"9,000",0,10.0,2000.0,금강로 694,202510~202709,신규,-,,,아파트,,,,부산광역시 금정구 남산동 금강로 694,
41,부산광역시 강서구 화전동,558,558.0,0.0,명지화전우방아이유쉘,전세,59.8736,202508,13,"14,350",0,18.0,2020.0,화전산단4로 74,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 화전동 화전산단4로 74,17800.0
45,부산광역시 사하구 장림동,1154,1154.0,0.0,두산위브더제니스센트럴사하,전세,39.9973,202508,13,"17,900",0,19.0,2024.0,장림로 199,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 장림동 장림로 199,40000.0
46,부산광역시 강서구 지사동,1184-1,1184.0,1.0,지사금강펜테리움,전세,59.9875,202508,13,"10,000",0,16.0,2013.0,과학산단2로20번길 69,202509~202709,신규,-,,,아파트,,,,부산광역시 강서구 지사동 과학산단2로20번길 69,12200.0
47,부산광역시 사하구 하단동,625-3,625.0,3.0,삼창,전세,40.43,202508,13,"7,500",0,4.0,1985.0,괴정로57번길 48,202509~202709,신규,-,,,아파트,,,,부산광역시 사하구 하단동 괴정로57번길 48,
50,부산광역시 북구 덕천동,817,817.0,0.0,포레나부산덕천1차,전세,59.9972,202508,13,"30,000",0,19.0,2022.0,만덕대로 81,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 덕천동 만덕대로 81,58200.0
52,부산광역시 북구 만덕동,960,960.0,0.0,더 래디언트 금정산,전세,84.95,202508,13,"30,000",0,7.0,2019.0,상학로 35,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 만덕동 상학로 35,33800.0
55,부산광역시 북구 덕천동,361,361.0,0.0,포레나부산덕천3차,전세,59.9385,202508,13,"26,000",0,21.0,2025.0,만덕대로 127,202511~202711,신규,-,,,아파트,,,,부산광역시 북구 덕천동 만덕대로 127,56800.0
61,부산광역시 남구 대연동,649,649.0,0.0,삼성,전세,84.87,202508,13,"21,000",0,20.0,1996.0,신선로 490,202509~202709,신규,-,,,아파트,,,,부산광역시 남구 대연동 신선로 490,30000.0
62,부산광역시 북구 금곡동,1110,1110.0,0.0,금곡6단지주공,전세,49.32,202508,13,"9,000",0,2.0,1995.0,효열로 40,202510~202710,신규,-,,,아파트,,,,부산광역시 북구 금곡동 효열로 40,9500.0
63,부산광역시 해운대구 재송동,939-2,939.0,2.0,센텀이편한세상,전세,84.98,202508,13,"35,000",0,2.0,2006.0,해운대로76번길 55,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 재송동 해운대로76번길 55,58500.0
65,부산광역시 부산진구 부암동,610-88,610.0,88.0,백양산서희스타힐스,전세,59.9525,202508,13,"25,000",0,14.0,2025.0,백양산로 22,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 부암동 백양산로 22,47800.0
67,부산광역시 부산진구 전포동,33-9,33.0,9.0,서면한신,전세,84.98,202508,13,"27,000",0,6.0,1997.0,전포대로 294,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 전포대로 294,36000.0
68,부산광역시 중구 대청동4가,34-2,34.0,2.0,동호이루마시티,전세,84.2,202508,13,"18,000",0,3.0,2006.0,중구로97번길 3,202509~202709,신규,-,,,아파트,,,,부산광역시 중구 대청동4가 중구로97번길 3,24500.0
72,부산광역시 부산진구 부전동,537-9,537.0,9.0,더샵센트럴스타,전세,156.999,202508,13,"55,000",0,23.0,2011.0,중앙대로666번길 50,202511~202711,신규,-,,,아파트,,,,부산광역시 부산진구 부전동 중앙대로666번길 50,59000.0
76,부산광역시 서구 동대신동3가,553,553.0,0.0,브라운스톤하이포레,전세,74.44,202508,13,"32,000",0,17.0,2020.0,동대로19번길 32,202510~202710,신규,-,,,아파트,,,,부산광역시 서구 동대신동3가 동대로19번길 32,39500.0
78,부산광역시 동래구 낙민동,90-6,90.0,6.0,중앙하이츠2,전세,59.9,202508,13,"17,000",0,21.0,1996.0,안남로 36,202508~202605,신규,-,,,아파트,,,,부산광역시 동래구 낙민동 안남로 36,20000.0
79,부산광역시 부산진구 범천동,1650,1650.0,0.0,서면3차봄여름가을겨울,전세,84.972,202508,13,"35,000",0,15.0,2020.0,가야대로 694,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 가야대로 694,28000.0
83,부산광역시 동래구 낙민동,265,265.0,0.0,부일스톤캐슬,전세,46.46,202508,13,"17,000",0,3.0,2017.0,충렬대로255번길 12,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 낙민동 충렬대로255번길 12,16000.0
85,부산광역시 동구 초량동,1218,1218.0,0.0,e편한세상부산항,전세,84.6836,202508,13,"38,000",0,6.0,2019.0,홍곡로 50,202510~202710,신규,-,,,아파트,,,,부산광역시 동구 초량동 홍곡로 50,51400.0
