NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
5,부산광역시 부산진구 가야동,588,588,0,반도보라빌,전세,84.8598,202508,14,"28,000",0,13,2005,가야공원로 41,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 가야동 가야공원로 41,40000
6,부산광역시 부산진구 가야동,700,700,0,가야롯데캐슬골드아너,전세,84.9919,202508,14,"50,000",0,5,2022,가야대로 538,202511~202711,신규,-,,,아파트,,,,부산광역시 부산진구 가야동 가야대로 538,76900
7,부산광역시 서구 서대신동1가,283,283,0,대신푸르지오1차,전세,39.9303,202508,14,"17,500",0,4,2018,대영로38번길 11,202510~202710,신규,-,,,아파트,,,,부산광역시 서구 서대신동1가 대영로38번길 11,61200
8,부산광역시 부산진구 양정동,458-5,458,5,현대1차,전세,42.63,202508,14,"14,000",0,19,1997,동평로 352,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 양정동 동평로 352,26600
10,부산광역시 부산진구 부암동,304-14,304,14,시민공원일동미라주시티,전세,49.8344,202508,14,"18,200",0,6,2022,동평로 192,202508~202708,신규,-,,,아파트,,,,부산광역시 부산진구 부암동 동평로 192,23300
11,부산광역시 부산진구 범천동,865,865,0,서면유림노르웨이숲,전세,84.9959,202508,14,"31,000",0,9,2014,신천대로 71,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 신천대로 71,42000
14,부산광역시 동래구 온천동,1846,1846,0,e편한세상동래아시아드,전세,84.9754,202508,14,"45,000",0,21,2020,아시아드대로 202,202510~202710,신규,-,,,아파트,,,,부산광역시 동래구 온천동 아시아드대로 202,69500
15,부산광역시 남구 용호동,176-30,176,30,엘지메트로시티2,전세,119.25,202508,14,"60,000",0,3,2002,분포로 111,202508~202708,신규,-,,,아파트,,,,부산광역시 남구 용호동 분포로 111,54000
17,부산광역시 동래구 온천동,707,707,0,동래럭키,전세,132.492,202508,14,"32,000",0,6,1985,충렬대로107번길 54,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 온천동 충렬대로107번길 54,100000
19,부산광역시 북구 만덕동,963,963,0,백양산베스티움에코포레,전세,84.9543,202508,14,"25,000",0,3,2022,상리로 86,202509~202709,신규,-,,,아파트,,,,부산광역시 북구 만덕동 상리로 86,23500
22,부산광역시 해운대구 반여동,1660,1660,0,센텀롯데캐슬2차,전세,59.9675,202508,14,"17,000",0,2,2005,반여로 68-12,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 반여동 반여로 68-12,34000
27,부산광역시 연제구 연산동,675-3,675,3,엘리시움,전세,55.7016,202508,14,"16,000",0,4,2017,중앙대로1124번길 14,202509~202709,신규,-,,,아파트,,,,부산광역시 연제구 연산동 중앙대로1124번길 14,21500
28,부산광역시 강서구 신호동,296-1,296,1,부산신호사랑으로부영1차,전세,84.3616,202508,14,"14,326",0,16,2013,신호산단3로 27,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 신호동 신호산단3로 27,39000
30,부산광역시 강서구 신호동,298-1,298,1,부산신호사랑으로부영2차,전세,59.9284,202508,14,"11,030",0,16,2014,신호산단4로 27,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 신호동 신호산단4로 27,36000
33,부산광역시 수영구 남천동,613,613,0,남천자이,전세,84.985,202508,14,"58,000",0,27,2023,남천동로 46,202510~202710,신규,-,,,아파트,,,,부산광역시 수영구 남천동 남천동로 46,133000
35,부산광역시 사상구 학장동,168-8,168,8,구학마을,전세,46.32,202508,14,"8,000",0,2,1993,학감대로49번길 28-19,202508~202708,신규,-,,,아파트,,,,부산광역시 사상구 학장동 학감대로49번길 28-19,7000
37,부산광역시 해운대구 좌동,1328,1328,0,영남,전세,59.585,202508,14,"18,000",0,5,1996,좌동순환로311번길 8,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 좌동순환로311번길 8,57500
39,부산광역시 해운대구 좌동,1450,1450,0,SKVIEW,전세,59.91,202508,14,"21,000",0,11,1998,청사포로 12,202509~202709,신규,-,,,아파트,,,,부산광역시 해운대구 좌동 청사포로 12,22900
41,부산광역시 강서구 화전동,558,558,0,명지화전우방아이유쉘,전세,59.8736,202508,13,"14,350",0,18,2020,화전산단4로 74,202508~202608,신규,-,,,아파트,,,,부산광역시 강서구 화전동 화전산단4로 74,17800
45,부산광역시 사하구 장림동,1154,1154,0,두산위브더제니스센트럴사하,전세,39.9973,202508,13,"17,900",0,19,2024,장림로 199,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 장림동 장림로 199,40000
46,부산광역시 강서구 지사동,1184-1,1184,1,지사금강펜테리움,전세,59.9875,202508,13,"10,000",0,16,2013,과학산단2로20번길 69,202509~202709,신규,-,,,아파트,,,,부산광역시 강서구 지사동 과학산단2로20번길 69,12200
50,부산광역시 북구 덕천동,817,817,0,포레나부산덕천1차,전세,59.9972,202508,13,"30,000",0,19,2022,만덕대로 81,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 덕천동 만덕대로 81,58200
52,부산광역시 북구 만덕동,960,960,0,더 래디언트 금정산,전세,84.95,202508,13,"30,000",0,7,2019,상학로 35,202508~202708,신규,-,,,아파트,,,,부산광역시 북구 만덕동 상학로 35,33800
55,부산광역시 북구 덕천동,361,361,0,포레나부산덕천3차,전세,59.9385,202508,13,"26,000",0,21,2025,만덕대로 127,202511~202711,신규,-,,,아파트,,,,부산광역시 북구 덕천동 만덕대로 127,56800
61,부산광역시 남구 대연동,649,649,0,삼성,전세,84.87,202508,13,"21,000",0,20,1996,신선로 490,202509~202709,신규,-,,,아파트,,,,부산광역시 남구 대연동 신선로 490,30000
62,부산광역시 북구 금곡동,1110,1110,0,금곡6단지주공,전세,49.32,202508,13,"9,000",0,2,1995,효열로 40,202510~202710,신규,-,,,아파트,,,,부산광역시 북구 금곡동 효열로 40,9500
63,부산광역시 해운대구 재송동,939-2,939,2,센텀이편한세상,전세,84.98,202508,13,"35,000",0,2,2006,해운대로76번길 55,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 재송동 해운대로76번길 55,58500
65,부산광역시 부산진구 부암동,610-88,610,88,백양산서희스타힐스,전세,59.9525,202508,13,"25,000",0,14,2025,백양산로 22,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 부암동 백양산로 22,47800
67,부산광역시 부산진구 전포동,Sep.33,33,9,서면한신,전세,84.98,202508,13,"27,000",0,6,1997,전포대로 294,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 전포동 전포대로 294,36000
68,부산광역시 중구 대청동4가,Feb.34,34,2,동호이루마시티,전세,84.2,202508,13,"18,000",0,3,2006,중구로97번길 3,202509~202709,신규,-,,,아파트,,,,부산광역시 중구 대청동4가 중구로97번길 3,24500
72,부산광역시 부산진구 부전동,537-9,537,9,더샵센트럴스타,전세,156.999,202508,13,"55,000",0,23,2011,중앙대로666번길 50,202511~202711,신규,-,,,아파트,,,,부산광역시 부산진구 부전동 중앙대로666번길 50,59000
76,부산광역시 서구 동대신동3가,553,553,0,브라운스톤하이포레,전세,74.44,202508,13,"32,000",0,17,2020,동대로19번길 32,202510~202710,신규,-,,,아파트,,,,부산광역시 서구 동대신동3가 동대로19번길 32,39500
78,부산광역시 동래구 낙민동,Jun.90,90,6,중앙하이츠2,전세,59.9,202508,13,"17,000",0,21,1996,안남로 36,202508~202605,신규,-,,,아파트,,,,부산광역시 동래구 낙민동 안남로 36,20000
