NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
5,부산광역시 부산진구 가야동,588,588.0,0.0,반도보라빌,전세,84.8598,202508,"28,000",13.0,2005.0,가야공원로 41,202509~202709,아파트,부산광역시 부산진구 가야동 가야공원로 41,40000
6,부산광역시 부산진구 가야동,700,700.0,0.0,가야롯데캐슬골드아너,전세,84.9919,202508,"50,000",5.0,2022.0,가야대로 538,202511~202711,아파트,부산광역시 부산진구 가야동 가야대로 538,76900
7,부산광역시 서구 서대신동1가,283,283.0,0.0,대신푸르지오1차,전세,39.9303,202508,"17,500",4.0,2018.0,대영로38번길 11,202510~202710,아파트,부산광역시 서구 서대신동1가 대영로38번길 11,61200
8,부산광역시 부산진구 양정동,458-5,458.0,5.0,현대1차,전세,42.63,202508,"14,000",19.0,1997.0,동평로 352,202508~202708,아파트,부산광역시 부산진구 양정동 동평로 352,26600
10,부산광역시 부산진구 부암동,304-14,304.0,14.0,시민공원일동미라주시티,전세,49.8344,202508,"18,200",6.0,2022.0,동평로 192,202508~202708,아파트,부산광역시 부산진구 부암동 동평로 192,23300
11,부산광역시 부산진구 범천동,865,865.0,0.0,서면유림노르웨이숲,전세,84.9959,202508,"31,000",9.0,2014.0,신천대로 71,202510~202710,아파트,부산광역시 부산진구 범천동 신천대로 71,42000
14,부산광역시 동래구 온천동,1846,1846.0,0.0,e편한세상동래아시아드,전세,84.9754,202508,"45,000",21.0,2020.0,아시아드대로 202,202510~202710,아파트,부산광역시 동래구 온천동 아시아드대로 202,69500
15,부산광역시 남구 용호동,176-30,176.0,30.0,엘지메트로시티2,전세,119.25,202508,"60,000",3.0,2002.0,분포로 111,202508~202708,아파트,부산광역시 남구 용호동 분포로 111,54000
17,부산광역시 동래구 온천동,707,707.0,0.0,동래럭키,전세,132.492,202508,"32,000",6.0,1985.0,충렬대로107번길 54,202509~202709,아파트,부산광역시 동래구 온천동 충렬대로107번길 54,100000
19,부산광역시 북구 만덕동,963,963.0,0.0,백양산베스티움에코포레,전세,84.9543,202508,"25,000",3.0,2022.0,상리로 86,202509~202709,아파트,부산광역시 북구 만덕동 상리로 86,23500
22,부산광역시 해운대구 반여동,1660,1660.0,0.0,센텀롯데캐슬2차,전세,59.9675,202508,"17,000",2.0,2005.0,반여로 68-12,202509~202709,아파트,부산광역시 해운대구 반여동 반여로 68-12,34000
27,부산광역시 연제구 연산동,675-3,675.0,3.0,엘리시움,전세,55.7016,202508,"16,000",4.0,2017.0,중앙대로1124번길 14,202509~202709,아파트,부산광역시 연제구 연산동 중앙대로1124번길 14,21500
28,부산광역시 강서구 신호동,296-1,296.0,1.0,부산신호사랑으로부영1차,전세,84.3616,202508,"14,326",16.0,2013.0,신호산단3로 27,202508~202608,아파트,부산광역시 강서구 신호동 신호산단3로 27,39000
30,부산광역시 강서구 신호동,298-1,298.0,1.0,부산신호사랑으로부영2차,전세,59.9284,202508,"11,030",16.0,2014.0,신호산단4로 27,202508~202608,아파트,부산광역시 강서구 신호동 신호산단4로 27,36000
33,부산광역시 수영구 남천동,613,613.0,0.0,남천자이,전세,84.985,202508,"58,000",27.0,2023.0,남천동로 46,202510~202710,아파트,부산광역시 수영구 남천동 남천동로 46,133000
