NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(원),공시지가(원),위도,경도
5,부산광역시 부산진구 가야동,588,588.0,0.0,반도보라빌,전세,84.8598,202508,"28,000",13.0,2005.0,가야공원로 41,202509~202709,아파트,부산광역시 부산진구 가야동 가야공원로 41,400000000,272000000,35.1505026878858,129.032373713462
6,부산광역시 부산진구 가야동,700,700.0,0.0,가야롯데캐슬골드아너,전세,84.9919,202508,"50,000",5.0,2022.0,가야대로 538,202511~202711,아파트,부산광역시 부산진구 가야동 가야대로 538,769000000,522920000,35.1532102220527,129.030537782842
7,부산광역시 서구 서대신동1가,283,283.0,0.0,대신푸르지오1차,전세,39.9303,202508,"17,500",4.0,2018.0,대영로38번길 11,202510~202710,아파트,부산광역시 서구 서대신동1가 대영로38번길 11,612000000,416160000,35.1073974230548,129.01613473633
8,부산광역시 부산진구 양정동,458-5,458.0,5.0,현대1차,전세,42.63,202508,"14,000",19.0,1997.0,동평로 352,202508~202708,아파트,부산광역시 부산진구 양정동 동평로 352,266000000,180880000,35.1742119686713,129.063037802602
10,부산광역시 부산진구 부암동,304-14,304.0,14.0,시민공원일동미라주시티,전세,49.8344,202508,"18,200",6.0,2022.0,동평로 192,202508~202708,아파트,부산광역시 부산진구 부암동 동평로 192,233000000,158440000,35.1674655526331,129.04994570909
11,부산광역시 부산진구 범천동,865,865.0,0.0,서면유림노르웨이숲,전세,84.9959,202508,"31,000",9.0,2014.0,신천대로 71,202510~202710,아파트,부산광역시 부산진구 범천동 신천대로 71,420000000,285600000,35.1500044746506,129.057643029434
14,부산광역시 동래구 온천동,1846,1846.0,0.0,e편한세상동래아시아드,전세,84.9754,202508,"45,000",21.0,2020.0,아시아드대로 202,202510~202710,아파트,부산광역시 동래구 온천동 아시아드대로 202,695000000,472600000,35.2022971190576,129.066385139165
15,부산광역시 남구 용호동,176-30,176.0,30.0,엘지메트로시티2,전세,119.25,202508,"60,000",3.0,2002.0,분포로 111,202508~202708,아파트,부산광역시 남구 용호동 분포로 111,540000000,367200000,35.126905677454,129.109566403886
17,부산광역시 동래구 온천동,707,707.0,0.0,동래럭키,전세,132.492,202508,"32,000",6.0,1985.0,충렬대로107번길 54,202509~202709,아파트,부산광역시 동래구 온천동 충렬대로107번길 54,1000000000,680000000,35.2098418293523,129.074414771081
19,부산광역시 북구 만덕동,963,963.0,0.0,백양산베스티움에코포레,전세,84.9543,202508,"25,000",3.0,2022.0,상리로 86,202509~202709,아파트,부산광역시 북구 만덕동 상리로 86,235000000,159800000,35.2071617886075,129.043239180592
22,부산광역시 해운대구 반여동,1660,1660.0,0.0,센텀롯데캐슬2차,전세,59.9675,202508,"17,000",2.0,2005.0,반여로 68-12,202509~202709,아파트,부산광역시 해운대구 반여동 반여로 68-12,340000000,231200000,35.1974725711421,129.124845431852
27,부산광역시 연제구 연산동,675-3,675.0,3.0,엘리시움,전세,55.7016,202508,"16,000",4.0,2017.0,중앙대로1124번길 14,202509~202709,아파트,부산광역시 연제구 연산동 중앙대로1124번길 14,215000000,146200000,35.1881136707307,129.08196247404
28,부산광역시 강서구 신호동,296-1,296.0,1.0,부산신호사랑으로부영1차,전세,84.3616,202508,"14,326",16.0,2013.0,신호산단3로 27,202508~202608,아파트,부산광역시 강서구 신호동 신호산단3로 27,390000000,265200000,35.0884538062969,128.873729281805
30,부산광역시 강서구 신호동,298-1,298.0,1.0,부산신호사랑으로부영2차,전세,59.9284,202508,"11,030",16.0,2014.0,신호산단4로 27,202508~202608,아파트,부산광역시 강서구 신호동 신호산단4로 27,360000000,244800000,35.0871199542685,128.873657869993
33,부산광역시 수영구 남천동,613,613.0,0.0,남천자이,전세,84.985,202508,"58,000",27.0,2023.0,남천동로 46,202510~202710,아파트,부산광역시 수영구 남천동 남천동로 46,1330000000,904400000,35.140188289197,129.112930577566
35,부산광역시 사상구 학장동,168-8,168.0,8.0,구학마을,전세,46.32,202508,"8,000",2.0,1993.0,학감대로49번길 28-19,202508~202708,아파트,부산광역시 사상구 학장동 학감대로49번길 28-19,70000000,47600000,35.1369601745874,128.991692452782
37,부산광역시 해운대구 좌동,1328,1328.0,0.0,영남,전세,59.585,202508,"18,000",5.0,1996.0,좌동순환로311번길 8,202510~202710,아파트,부산광역시 해운대구 좌동 좌동순환로311번길 8,575000000,391000000,35.1680799575736,129.183087303976
39,부산광역시 해운대구 좌동,1450,1450.0,0.0,SKVIEW,전세,59.91,202508,"21,000",11.0,1998.0,청사포로 12,202509~202709,아파트,부산광역시 해운대구 좌동 청사포로 12,229000000,155720000,35.1651320342948,129.183384115577
41,부산광역시 강서구 화전동,558,558.0,0.0,명지화전우방아이유쉘,전세,59.8736,202508,"14,350",18.0,2020.0,화전산단4로 74,202508~202608,아파트,부산광역시 강서구 화전동 화전산단4로 74,178000000,121040000,35.1107280033447,128.885585412422
45,부산광역시 사하구 장림동,1154,1154.0,0.0,두산위브더제니스센트럴사하,전세,39.9973,202508,"17,900",19.0,2024.0,장림로 199,202510~202710,아파트,부산광역시 사하구 장림동 장림로 199,400000000,272000000,35.082895063328,128.972097096354
46,부산광역시 강서구 지사동,1184-1,1184.0,1.0,지사금강펜테리움,전세,59.9875,202508,"10,000",16.0,2013.0,과학산단2로20번길 69,202509~202709,아파트,부산광역시 강서구 지사동 과학산단2로20번길 69,122000000,82960000,35.1508946511378,128.838986989043
50,부산광역시 북구 덕천동,817,817.0,0.0,포레나부산덕천1차,전세,59.9972,202508,"30,000",19.0,2022.0,만덕대로 81,202508~202708,아파트,부산광역시 북구 덕천동 만덕대로 81,582000000,395760000,35.2127277626499,129.012184959816
52,부산광역시 북구 만덕동,960,960.0,0.0,더 래디언트 금정산,전세,84.95,202508,"30,000",7.0,2019.0,상학로 35,202508~202708,아파트,부산광역시 북구 만덕동 상학로 35,338000000,229840000,35.2150395342966,129.03721493208
55,부산광역시 북구 덕천동,361,361.0,0.0,포레나부산덕천3차,전세,59.9385,202508,"26,000",21.0,2025.0,만덕대로 127,202511~202711,아파트,부산광역시 북구 덕천동 만덕대로 127,568000000,386240000,35.2139753248583,129.01754424911
61,부산광역시 남구 대연동,649,649.0,0.0,삼성,전세,84.87,202508,"21,000",20.0,1996.0,신선로 490,202509~202709,아파트,부산광역시 남구 대연동 신선로 490,300000000,204000000,35.1280375426534,129.103517619684
62,부산광역시 북구 금곡동,1110,1110.0,0.0,금곡6단지주공,전세,49.32,202508,"9,000",2.0,1995.0,효열로 40,202510~202710,아파트,부산광역시 북구 금곡동 효열로 40,95000000,64600000,35.2489583498651,129.015421319804
63,부산광역시 해운대구 재송동,939-2,939.0,2.0,센텀이편한세상,전세,84.98,202508,"35,000",2.0,2006.0,해운대로76번길 55,202510~202710,아파트,부산광역시 해운대구 재송동 해운대로76번길 55,585000000,397800000,35.1894075654125,129.117781339516
65,부산광역시 부산진구 부암동,610-88,610.0,88.0,백양산서희스타힐스,전세,59.9525,202508,"25,000",14.0,2025.0,백양산로 22,202509~202709,아파트,부산광역시 부산진구 부암동 백양산로 22,478000000,325040000,35.172540323275,129.033133031769
67,부산광역시 부산진구 전포동,Sep.33,33.0,9.0,서면한신,전세,84.98,202508,"27,000",6.0,1997.0,전포대로 294,202509~202709,아파트,부산광역시 부산진구 전포동 전포대로 294,360000000,244800000,35.1628237857617,129.066855875941
68,부산광역시 중구 대청동4가,Feb.34,34.0,2.0,동호이루마시티,전세,84.2,202508,"18,000",3.0,2006.0,중구로97번길 3,202509~202709,아파트,부산광역시 중구 대청동4가 중구로97번길 3,245000000,166600000,35.105367393454,129.030930147158
72,부산광역시 부산진구 부전동,537-9,537.0,9.0,더샵센트럴스타,전세,156.999,202508,"55,000",23.0,2011.0,중앙대로666번길 50,202511~202711,아파트,부산광역시 부산진구 부전동 중앙대로666번길 50,590000000,401200000,35.151843130536,129.060303359759
76,부산광역시 서구 동대신동3가,553,553.0,0.0,브라운스톤하이포레,전세,74.44,202508,"32,000",17.0,2020.0,동대로19번길 32,202510~202710,아파트,부산광역시 서구 동대신동3가 동대로19번길 32,395000000,268600000,35.1184561607383,129.019216891509
78,부산광역시 동래구 낙민동,Jun.90,90.0,6.0,중앙하이츠2,전세,59.9,202508,"17,000",21.0,1996.0,안남로 36,202508~202605,아파트,부산광역시 동래구 낙민동 안남로 36,200000000,136000000,35.1942207793998,129.095775567402
79,부산광역시 부산진구 범천동,1650,1650.0,0.0,서면3차봄여름가을겨울,전세,84.972,202508,"35,000",15.0,2020.0,가야대로 694,202509~202709,아파트,부산광역시 부산진구 범천동 가야대로 694,280000000,190400000,35.1563590383624,129.047545231598
83,부산광역시 동래구 낙민동,265,265.0,0.0,부일스톤캐슬,전세,46.46,202508,"17,000",3.0,2017.0,충렬대로255번길 12,202509~202709,아파트,부산광역시 동래구 낙민동 충렬대로255번길 12,160000000,108800000,35.2013203995841,129.087860262454
85,부산광역시 동구 초량동,1218,1218.0,0.0,e편한세상부산항,전세,84.6836,202508,"38,000",6.0,2019.0,홍곡로 50,202510~202710,아파트,부산광역시 동구 초량동 홍곡로 50,514000000,349520000,35.1230980159299,129.039977255617
