"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","부산광역시 영도구 신선동3가","1**","단독","8m미만","18.70","75.00","202508","12","10,000","개인","개인","1985","중복길","20250812","중개거래","부산 남구"
"2","부산광역시 부산진구 범전동","7*","단독","8m미만","116.79","116.00","202508","12","81,542","개인","개인","1995","양성로31번길","-","중개거래","부산 연제구"
"3","부산광역시 부산진구 범천동","1***","단독","8m미만","62.48","88.00","202508","12","4,000","개인","개인","1975","엄광로495번가길","-","직거래","-"
"4","부산광역시 영도구 신선동3가","1**","단독","8m미만","18.70","110.00","202508","12","10,000","개인","개인","1985","중복길","-","중개거래","부산 남구"
"5","부산광역시 해운대구 반송동","2**","단독","12m미만","29.09","46.00","202508","11","10,000","개인","개인","1971","아랫반송로90번길","-","중개거래","울산 남구"
"6","부산광역시 동래구 온천동","1***","다가구","8m미만","626.00","251.60","202508","11","98,000","개인","법인","2010","미남로132번길","-","직거래","-"
"7","부산광역시 동래구 안락동","5**","단독","12m미만","170.44","192.00","202508","11","55,000","개인","개인","1980","충렬대로446번길","-","중개거래","부산 동래구, 부산 연제구"
"8","부산광역시 기장군 일광읍 문중리","8*","단독","8m미만","24.23","119.00","202508","11","8,000","개인","개인","1966","문중길","-","직거래","-"
"9","부산광역시 수영구 망미동","8**","단독","25m미만","74.38","111.60","202508","09","70,000","개인","개인","1977","망미로","-","중개거래","부산 동래구"
"10","부산광역시 남구 대연동","1***","단독","8m미만","54.25","110.00","202508","09","22,399","개인","개인","2001","석포로","-","중개거래","부산 남구"
"11","부산광역시 남구 문현동","7**","단독","8m미만","65.80","38.00","202508","09","37,000","개인","개인","1985","문현금융로18번길","-","중개거래","부산 남구"
"12","부산광역시 남구 대연동","1***","단독","-","33.24","50.00","202508","09","13,601","개인","개인","2001","","-","중개거래","부산 남구"
"13","부산광역시 사하구 감천동","*","단독","8m미만","24.18","32.00","202508","08","900","개인","개인","1985","감내1로235번길","-","중개거래","부산 연제구"
"14","부산광역시 사하구 감천동","1*","단독","8m미만","29.28","31.00","202508","08","1,400","법인","개인","1986","옥천로57번길","-","직거래","-"
"15","부산광역시 부산진구 범전동","2**","단독","8m미만","32.00","69.00","202508","07","4,600","개인","개인","1900","시민공원로74번길","20250807","직거래","-"
"16","부산광역시 금정구 회동동","1**","다가구","12m미만","158.04","173.30","202508","07","15,000","개인","개인","1984","회천로","-","직거래","-"
"17","부산광역시 기장군 기장읍 대라리","1**","단독","12m미만","91.22","170.00","202508","07","36,000","개인","개인","1982","차성동로31번길","-","중개거래","부산 기장군"
"18","부산광역시 연제구 연산동","8**","단독","8m미만","124.64","114.00","202508","06","35,500","개인","개인","1985","연수로","-","중개거래","부산 연제구"
"19","부산광역시 부산진구 가야동","4**","단독","8m미만","58.90","99.00","202508","05","6,000","개인","개인","1985","엄광로134번길","-","중개거래","부산 사상구"
"20","부산광역시 영도구 신선동3가","9*","단독","12m미만","27.00","59.00","202508","05","12,000","개인","개인","","중복길","-","직거래","-"
"21","부산광역시 부산진구 당감동","6**","단독","8m미만","187.40","184.00","202508","04","5,000","개인","개인","1984","동평로27번길","-","직거래","-"
"22","부산광역시 사하구 괴정동","1***","단독","8m미만","74.52","134.60","202508","04","9,200","개인","개인","1984","마하로48번길","-","직거래","-"
"23","부산광역시 금정구 서동","3**","다가구","8m미만","79.90","36.00","202508","04","9,200","개인","개인","1992","서동시장길","-","중개거래","부산 연제구"
"24","부산광역시 해운대구 송정동","4**","단독","12m미만","169.95","173.00","202508","03","80,000","개인","개인","2019","송정광어골로82번길","-","중개거래","부산 해운대구"
"25","부산광역시 사하구 감천동","2**","단독","8m미만","38.68","102.00","202508","02","23,000","개인","개인","1977","원양로350번길","20250811","중개거래","부산 사하구"
"26","부산광역시 사하구 감천동","2**","단독","8m미만","38.68","102.00","202508","02","15,000","개인","개인","1977","원양로350번길","-","중개거래","부산 사하구"
"27","부산광역시 중구 대청동4가","*","단독","8m미만","95.14","96.50","202508","02","5,000","개인","개인","1976","망양로341번길","-","직거래","-"
"28","부산광역시 서구 부민동3가","5*","단독","8m미만","15.23","21.60","202508","02","8,500","개인","개인","1985","해돋이로273번길","-","직거래","-"
"29","부산광역시 금정구 부곡동","7**","다가구","25m미만","99.33","88.00","202508","01","58,000","개인","개인","2004","서동로","-","중개거래","부산 금정구"
"30","부산광역시 금정구 서동","3**","다가구","8m미만","115.53","45.00","202508","01","10,700","개인","개인","1992","서동시장길","-","중개거래","부산 금정구"
"31","부산광역시 남구 우암동","1**","단독","8m미만","29.76","29.30","202508","01","3,000","개인","개인","2001","우암번영로8번길","-","직거래","-"
"32","부산광역시 금정구 부곡동","6**","단독","8m미만","72.46","132.00","202508","01","32,830","개인","개인","1978","동부곡로12번길","-","중개거래","부산 금정구"
"33","부산광역시 사하구 괴정동","1***","단독","25m미만","163.68","173.00","202507","31","40,000","개인","개인","1984","낙동대로244번길","-","직거래","-"
"34","부산광역시 동구 초량동","8**","단독","8m미만","61.02","105.00","202507","31","8,900","개인","개인","1974","망양로562번길","-","중개거래","부산 부산진구"
"35","부산광역시 북구 만덕동","3**","다가구","8m미만","140.68","135.00","202507","30","21,000","개인","개인","1987","만덕2로17번길","-","중개거래","부산 북구"
"36","부산광역시 연제구 거제동","6**","단독","8m미만","154.13","129.00","202507","30","38,500","기타","개인","1990","해맞이로81번길","-","중개거래","부산 연제구"
"37","부산광역시 해운대구 우동","2**","단독","8m미만","129.13","162.00","202507","30","105,000","개인","개인","1978","우동3로11번길","-","중개거래","부산 해운대구"
"38","부산광역시 영도구 동삼동","3**","단독","8m미만","42.90","50.00","202507","30","4,500","개인","개인","","장수5길","-","직거래","-"
"39","부산광역시 서구 초장동","1**","단독","8m미만","45.10","59.50","202507","29","4,000","개인","개인","1985","해돋이로165번길","-","직거래","-"
"40","부산광역시 부산진구 부암동","3**","다가구","8m미만","114.30","108.00","202507","29","20,000","개인","개인","1986","동평로127번길","-","직거래","-"
"41","부산광역시 금정구 부곡동","6**","단독","8m미만","55.35","119.00","202507","29","20,000","개인","개인","1974","동부곡로12번길","-","직거래","-"
"42","부산광역시 해운대구 반송동","2**","단독","8m미만","21.70","57.00","202507","29","3,000","개인","개인","1977","아랫반송로70번길","-","직거래","-"
"43","부산광역시 금정구 장전동","4**","단독","8m미만","100.26","97.30","202507","28","21,500","개인","개인","1983","장전온천천로73번길","-","중개거래","부산 금정구"
"44","부산광역시 동구 초량동","7**","단독","8m미만","30.41","60.00","202507","28","11,300","법인","개인","1900","망양로579번길","-","직거래","-"
"45","부산광역시 사상구 주례동","4**","다가구","8m미만","185.46","93.00","202507","28","8,000","개인","개인","1980","주감로","20250731","직거래","-"
"46","부산광역시 강서구 송정동","1***","단독","8m미만","47.27","241.00","202507","28","16,790","개인","개인","","송정길","-","직거래","-"
"47","부산광역시 사상구 덕포동","1**","다가구","8m미만","94.81","101.10","202507","28","7,000","개인","개인","1991","운산로77번길","-","직거래","-"
"48","부산광역시 영도구 청학동","4**","단독","12m미만","85.00","39.00","202507","28","4,870","개인","개인","","와치로","-","직거래","-"
"49","부산광역시 강서구 천성동","1***","단독","8m미만","82.90","152.00","202507","28","36,800","개인","개인","1977","가덕해안로","-","직거래","-"
"50","부산광역시 부산진구 가야동","4**","단독","8m미만","88.33","152.00","202507","28","53,320","개인","개인","1972","대학로61번길","-","중개거래","부산 부산진구"
"51","부산광역시 금정구 부곡동","6**","단독","8m미만","55.35","119.00","202507","28","20,000","개인","개인","1974","동부곡로12번길","20250728","직거래","-"
"52","부산광역시 수영구 광안동","5**","다가구","12m미만","181.83","143.80","202507","26","42,000","법인","개인","1989","광일로46번길","-","중개거래","부산 수영구"
"53","부산광역시 남구 문현동","7**","단독","8m미만","53.10","28.80","202507","26","32,000","개인","개인","1985","남동천로78번길","-","중개거래","부산 부산진구"
"54","부산광역시 중구 대청동4가","7*","단독","8m미만","83.87","88.50","202507","26","10,300","개인","개인","1975","망양로325번길","-","중개거래","부산 중구"
"55","부산광역시 해운대구 반송동","2**","다가구","8m미만","186.48","53.00","202507","25","7,000","개인","개인","1994","아랫반송로50번길","-","직거래","-"
"56","부산광역시 수영구 망미동","7**","단독","8m미만","71.74","165.30","202507","25","64,000","개인","개인","1973","망미로27번길","-","중개거래","부산 연제구"
"57","부산광역시 서구 초장동","1**","다가구","8m미만","130.54","113.60","202507","25","26,266","개인","개인","1977","천마로201번길","-","직거래","-"
"58","부산광역시 부산진구 당감동","2*","단독","8m미만","43.33","109.00","202507","24","9,000","개인","개인","1985","가야대로681번길","-","직거래","-"
"59","부산광역시 동래구 칠산동","1**","단독","8m미만","49.24","126.00","202507","24","29,000","개인","개인","1975","동래로190번길","-","중개거래","부산 동래구"
"60","부산광역시 서구 서대신동3가","7**","단독","8m미만","27.00","43.00","202507","24","3,430","개인","개인","1985","대티로133번길","-","중개거래","경기 수원시 권선구"
"61","부산광역시 해운대구 반여동","1***","다가구","8m미만","124.62","54.50","202507","24","11,000","개인","개인","1992","해운대로61번길","-","중개거래","부산 해운대구"
"62","부산광역시 동래구 복천동","7*","단독","8m미만","68.00","146.00","202507","24","30,000","개인","개인","1981","동래로179번길","-","중개거래","부산 연제구"
"63","부산광역시 영도구 청학동","3**","단독","8m미만","119.80","116.00","202507","23","15,000","개인","개인","1975","태종로300번길","20250725","직거래","-"
"64","부산광역시 사하구 다대동","9**","단독","8m미만","191.99","184.40","202507","23","20,000","공공기관","개인","1987","윤공단로18번길","-","중개거래","부산 사하구"
"65","부산광역시 영도구 청학동","3**","단독","8m미만","119.80","116.00","202507","23","15,000","개인","개인","1975","태종로300번길","-","직거래","-"
"66","부산광역시 북구 금곡동","1***","다가구","8m미만","183.86","125.00","202507","23","43,998","기타","개인","1991","금곡대로430번가길","-","직거래","-"
"67","부산광역시 북구 구포동","1***","단독","8m미만","259.76","154.60","202507","22","8,000","개인","개인","1990","모분재로149번길","-","중개거래","부산 북구"
"68","부산광역시 사하구 당리동","3**","단독","12m미만","132.09","136.90","202507","22","35,000","개인","개인","1978","승학로10번길","-","중개거래","부산 사하구"
"69","부산광역시 동래구 명장동","4**","다가구","8m미만","164.06","151.00","202507","22","16,360","개인","개인","1990","명장로63번다길","-","직거래","-"
"70","부산광역시 남구 문현동","7*","단독","8m미만","85.79","380.00","202507","22","33,500","개인","개인","","진남로198번가길","-","중개거래","부산 부산진구"
"71","부산광역시 해운대구 우동","2**","단독","25m미만","193.20","205.00","202507","22","156,000","개인","개인","1985","우동3로11번길","-","중개거래","부산 연제구"
"72","부산광역시 영도구 청학동","4**","단독","8m미만","56.20","106.00","202507","21","3,450","개인","기타","1974","청학로35번길","-","중개거래","부산 영도구"
"73","부산광역시 수영구 민락동","4*","단독","8m미만","94.55","173.60","202507","21","48,000","개인","개인","1977","감포로18번길","-","중개거래","부산 수영구"
"74","부산광역시 수영구 민락동","3*","단독","25m미만","39.79","51.90","202507","21","30,500","개인","개인","1985","광남로","-","중개거래","부산 수영구"
"75","부산광역시 영도구 청학동","4**","단독","8m미만","56.20","106.00","202507","21","3,500","개인","기타","1974","청학로35번길","20250721","중개거래","부산 영도구"
"76","부산광역시 금정구 부곡동","2**","다가구","8m미만","243.26","122.00","202507","21","59,500","개인","개인","2017","동부곡로9번길","-","중개거래","부산 금정구"
"77","부산광역시 연제구 거제동","4**","단독","8m미만","41.32","96.00","202507","21","40,600","개인","개인","1973","거제대로267번길","-","중개거래","부산 연제구"
"78","부산광역시 강서구 신호동","3**","단독","25m이상","155.80","204.20","202507","21","53,000","개인","개인","2020","신호산단1로","-","직거래","-"
"79","부산광역시 해운대구 반여동","1***","단독","12m미만","135.90","54.50","202507","21","13,200","개인","개인","1992","재반로226번길","-","직거래","-"
"80","부산광역시 강서구 신호동","3**","단독","25m이상","197.75","204.20","202507","21","60,000","개인","개인","2020","신호산단1로98번길","-","직거래","-"
"81","부산광역시 사상구 주례동","3**","단독","8m미만","200.89","178.60","202507","21","26,000","개인","개인","1989","양지로42번길","-","중개거래","부산 사상구"
"82","부산광역시 사상구 엄궁동","2**","단독","8m미만","130.42","142.00","202507","21","34,000","개인","개인","1983","엄궁북로4번길","-","중개거래","부산 동구"
"83","부산광역시 동구 좌천동","9**","단독","8m미만","80.42","58.00","202507","19","14,000","개인","개인","2001","좌천서로","-","중개거래","부산 동구"
"84","부산광역시 금정구 부곡동","3**","단독","8m미만","92.93","94.20","202507","19","53,800","개인","개인","1983","오시게로58번길","-","중개거래","부산 금정구"
"85","부산광역시 수영구 망미동","4**","단독","25m이상","138.25","115.80","202507","19","32,000","개인","개인","1980","과정로","-","중개거래","부산 수영구"
"86","부산광역시 해운대구 우동","2**","단독","8m미만","39.67","60.30","202507","19","40,492","개인","개인","1971","우동3로11번길","-","직거래","-"
"87","부산광역시 동래구 안락동","4**","단독","12m미만","168.46","145.60","202507","18","51,500","개인","개인","1985","명안로9번길","-","중개거래","부산 동래구"
"88","부산광역시 강서구 동선동","7**","단독","8m미만","44.30","222.00","202507","18","33,000","개인","개인","2014","동선2길","-","중개거래","부산 강서구"
"89","부산광역시 기장군 일광읍 동백리","2**","단독","12m미만","84.46","250.00","202507","18","30,000","개인","개인","1970","문오성길","-","직거래","-"
"90","부산광역시 연제구 연산동","2***","단독","8m미만","59.50","137.20","202507","17","12,000","개인","개인","1974","쌍미천로52번길","-","직거래","-"
"91","부산광역시 서구 서대신동3가","6*","단독","8m미만","327.38","542.00","202507","17","120,000","개인","개인","1985","대신공원로","-","중개거래","부산 사하구"
"92","부산광역시 해운대구 반여동","7**","단독","8m미만","92.86","168.00","202507","17","38,000","개인","개인","1981","선수촌로207번길","-","직거래","-"
"93","부산광역시 부산진구 범전동","6*","단독","8m미만","330.58","308.00","202507","16","207,000","개인","개인","1970","경마장로","-","중개거래","부산 남구, 부산 부산진구"
"94","부산광역시 남구 문현동","9**","단독","8m미만","131.87","107.00","202507","16","69,000","법인","개인","2001","장고개로104번길","-","직거래","-"
"95","부산광역시 동구 좌천동","6*","단독","8m미만","15.50","9.30","202507","16","3,640","개인","개인","1984","성남이로13번길","-","직거래","-"
"96","부산광역시 영도구 청학동","1**","단독","8m미만","123.79","145.00","202507","16","22,000","개인","개인","1900","청학북로","-","중개거래","부산 영도구"
"97","부산광역시 부산진구 범전동","7*","단독","8m미만","39.37","67.00","202507","16","60,500","개인","개인","1985","경마장로5번길","-","중개거래","부산 금정구, 부산 부산진구"
"98","부산광역시 금정구 서동","5**","다가구","8m미만","114.00","43.00","202507","16","12,000","개인","개인","1992","서동로88번길","-","직거래","-"
"99","부산광역시 남구 감만동","1**","단독","8m미만","64.56","115.00","202507","16","13,672","개인","개인","1978","홍곡로","-","중개거래","부산 연제구"
"100","부산광역시 영도구 청학동","2**","단독","8m미만","28.10","55.00","202507","16","1,800","개인","개인","","청학로","-","직거래","-"
"101","부산광역시 사하구 괴정동","1***","단독","8m미만","24.28","85.80","202507","16","17,300","법인","개인","1987","사하로186번길","-","직거래","-"
"102","부산광역시 남구 문현동","1***","단독","8m미만","106.84","125.00","202507","15","15,000","개인","개인","1984","장고개로67번길","-","중개거래","부산 남구"
"103","부산광역시 영도구 청학동","4**","단독","8m미만","136.62","136.62","202507","15","13,000","개인","개인","1979","청학로21번길","-","중개거래","부산 영도구"
"104","부산광역시 강서구 신호동","2**","다가구","25m미만","307.40","205.10","202507","15","56,500","개인","개인","2015","신호산단4로64번길","-","중개거래","부산 강서구"
