"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","부산광역시 해운대구 반여동","1***","8m미만","209.54","월세","202508","14","2,000","10","1992","재반로242번길","202508~202708","신규","-","","","단독다가구"
"2","부산광역시 수영구 수영동","4**","25m미만","19.83","월세","202508","14","350","20","1988","구락로","202508~202708","신규","-","","","단독다가구"
"3","부산광역시 남구 대연동","8**","8m미만","16.90","월세","202508","14","1,000","37","2018","유엔평화로38번길","202508~202608","신규","-","","","단독다가구"
"4","부산광역시 영도구 동삼동","8**","12m미만","11.05","월세","202508","14","1,500","15","1995","본산로","202508~202608","신규","-","","","단독다가구"
"5","부산광역시 연제구 연산동","2***","8m미만","36.00","월세","202508","14","2,000","20","1990","쌍미천로16번길","202508~202708","신규","-","","","단독다가구"
"6","부산광역시 해운대구 재송동","1***","12m미만","88.12","월세","202508","13","500","37","2010","재반로84번길","202508~202608","신규","-","","","단독다가구"
"7","부산광역시 영도구 동삼동","2**","8m미만","21.00","월세","202508","13","500","30","2009","웃서발로83번길","202508~202608","신규","-","","","단독다가구"
"8","부산광역시 금정구 장전동","3**","12m미만","21.38","월세","202508","13","300","29","2010","부산대학로64번길","202508~202608","신규","-","","","단독다가구"
"9","부산광역시 연제구 거제동","4*","8m미만","179.64","월세","202508","13","1,000","23","1981","거제천로117번길","202508~202708","신규","-","","","단독다가구"
"10","부산광역시 금정구 서동","1**","8m미만","123.90","월세","202508","13","300","20","1978","금사로43번길","202508~202708","신규","-","","","단독다가구"
"11","부산광역시 기장군 정관읍 달산리","1***","12m미만","30.00","월세","202508","13","200","42","2011","달산1길","202508~202608","신규","-","","","단독다가구"
"12","부산광역시 사상구 주례동","1**","12m미만","15.00","월세","202508","13","2,000","5","2010","가야대로344번길","202508~202702","신규","-","","","단독다가구"
"13","부산광역시 사상구 주례동","8*","8m미만","38.73","월세","202508","13","1,000","35","1995","","202508~202708","신규","-","","","단독다가구"
"14","부산광역시 기장군 일광읍 삼성리","8**","12m미만","25.68","월세","202508","12","1,000","55","2025","해빛6로","202508~202608","신규","-","","","단독다가구"
"15","부산광역시 기장군 정관읍 용수리","1***","12m미만","108.09","전세","202508","12","15,000","0","2017","가동3로","202509~202709","신규","-","","","단독다가구"
"16","부산광역시 기장군 정관읍 용수리","1***","12m미만","52.00","월세","202508","12","500","45","2016","가동1길","202508~202608","신규","-","","","단독다가구"
"17","부산광역시 영도구 영선동3가","1**","25m이상","56.79","전세","202508","12","8,000","0","","영선대로","202508~202708","신규","-","","","단독다가구"
"18","부산광역시 연제구 연산동","7**","8m미만","82.92","월세","202508","12","500","55","2016","중앙대로1066번길","202508~202608","신규","-","","","단독다가구"
"19","부산광역시 사하구 괴정동","8**","8m미만","129.28","월세","202508","12","2,000","40","1987","사하로185번길","202508~202708","신규","-","","","단독다가구"
"20","부산광역시 남구 문현동","2**","12m미만","145.34","월세","202508","12","0","30","2002","수영로69번길","202508~202708","신규","-","","","단독다가구"
"21","부산광역시 수영구 광안동","1**","8m미만","30.00","전세","202508","12","9,000","0","2017","수영로540번길","202509~202709","신규","-","","","단독다가구"
"22","부산광역시 동래구 안락동","4**","8m미만","68.49","전세","202508","12","12,500","0","1991","안락로","202509~202709","신규","-","","","단독다가구"
"23","부산광역시 해운대구 반송동","2**","8m미만","66.47","월세","202508","12","100","10","1980","윗반송로51번길","202508~202708","신규","-","","","단독다가구"
"24","부산광역시 남구 용당동","5**","25m미만","20.00","월세","202508","12","300","40","2010","유엔평화로","202508~202608","신규","-","","","단독다가구"
"25","부산광역시 사하구 신평동","1**","8m미만","150.95","월세","202508","12","100","10","1991","다대로140번길","202508~202708","신규","-","","","단독다가구"
"26","부산광역시 동래구 명장동","5**","8m미만","247.39","월세","202508","12","1,000","15","1992","명서로105번길","202508~202708","신규","-","","","단독다가구"
"27","부산광역시 북구 화명동","1***","8m미만","22.81","월세","202508","11","500","37","2011","산성로","202508~202608","신규","-","","","단독다가구"
"28","부산광역시 강서구 명지동","3***","12m미만","20.14","월세","202508","11","300","30","2014","명지오션시티8로42번길","202508~202608","신규","-","","","단독다가구"
"29","부산광역시 금정구 장전동","2**","12m미만","20.00","월세","202508","11","200","29","2012","수림로45번길","202508~202608","신규","-","","","단독다가구"
"30","부산광역시 북구 덕천동","3**","8m미만","20.11","월세","202508","11","300","33","2010","금곡대로20번길","202508~202602","신규","-","","","단독다가구"
"31","부산광역시 동래구 안락동","4**","8m미만","18.61","월세","202508","11","8,000","5","2020","반송로218번길","202509~202708","신규","-","","","단독다가구"
"32","부산광역시 동래구 안락동","4**","8m미만","77.80","월세","202508","11","2,000","40","1980","명안로18번길","202509~202709","신규","-","","","단독다가구"
"33","부산광역시 수영구 광안동","3**","8m미만","15.00","월세","202508","11","200","40","2017","수영로521번가길","202508~202601","신규","-","","","단독다가구"
"34","부산광역시 남구 대연동","6**","8m미만","19.21","월세","202508","11","300","32","2008","유엔로157번가길","202508~202608","신규","-","","","단독다가구"
"35","부산광역시 강서구 강동동","1**","25m이상","60.60","월세","202508","11","3,000","29","1995","낙동북로","202508~202708","신규","-","","","단독다가구"
"36","부산광역시 사상구 주례동","9*","12m미만","18.10","월세","202508","11","1,000","39","2019","주례로34번길","202508~202608","신규","-","","","단독다가구"
