"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 서구 남부민동","434-357","0434","0357","시영","37.0200","24.3300","202508","14","1,300","2","개인","개인","1971","천해로7번길 12","-","직거래","-","-"
"2","부산광역시 수영구 광안동","156-18","0156","0018","보람시티빌","16.8850","11.5896","202508","14","15,400","3","개인","개인","2012","수영로594번길 98","-","중개거래","부산 북구, 부산 연제구","-"
"3","부산광역시 남구 용호동","391-10","0391","0010","부영주택(6)","43.1700","46.0375","202508","14","10,000","2","법인","개인","1982","동명로158번길 30","-","직거래","-","-"
"4","부산광역시 연제구 연산동","717-26","0717","0026","TheHTown","45.6400","19.5363","202508","13","15,000","5","개인","개인","2015","월드컵대로91번길 7","-","중개거래","부산 연제구","-"
"5","부산광역시 사하구 당리동","231-8","0231","0008","호성빌라맨션E","97.7600","61.9300","202508","13","11,000","1","개인","개인","1991","승학로19번길 14","-","중개거래","부산 사하구","-"
"6","부산광역시 북구 구포동","1227-27","1227","0027","전원그린빌라1차","43.7400","18.3280","202508","13","4,500","2","개인","개인","1995","시랑로83번길 44","-","중개거래","부산 북구","-"
"7","부산광역시 해운대구 반송동","20-64","0020","0064","한주빌라(20-64)","43.6200","13.5000","202508","12","4,900","1","개인","개인","1995","윗반송로31번길 93-19","-","중개거래","부산 해운대구","-"
"8","부산광역시 남구 문현동","63-6","0063","0006","삼우빌라2동","59.8400","31.6250","202508","12","12,000","2","개인","개인","2001","진남로210번길 18-7","-","중개거래","부산 남구","-"
"9","부산광역시 금정구 서동","197-50","0197","0050","해승하우스2","51.3900","30.5330","202508","11","16,000","4","개인","개인","2016","서부로4번길 21","-","직거래","-","25.08.12"
"10","부산광역시 동구 초량동","794-665","0794","0665","대일주택","44.9600","39.0000","202508","11","9,500","1","개인","개인","1981","망양로 589-3","-","중개거래","부산 동래구","25.08.12"
"11","부산광역시 수영구 광안동","140-4","0140","0004","부일캐슬","16.3050","13.3541","202508","11","17,400","2","개인","개인","2014","수영로606번길 22","-","중개거래","부산 연제구","-"
"12","부산광역시 수영구 민락동","212-6","0212","0006","광안비치","20.7800","11.4000","202508","11","24,000","2","개인","개인","2003","광남로172번길 42","-","중개거래","부산 부산진구","-"
