"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","부산광역시 서구 암남동","62-21","0062","0021","달빛채","월세","15.1800","202508","14","1,000","40","2","2013","감천로255번길 14","202508~202701","신규","-","","","연립다세대"
"2","부산광역시 사하구 하단동","487-3","0487","0003","유진빌","월세","16.3500","202508","14","300","25","2","2011","낙동대로575번길 53-6","202508~202608","신규","-","","","연립다세대"
"3","부산광역시 남구 대연동","1722-31","1722","0031","민들레","월세","21.6400","202508","14","400","29","5","2010","유엔로157번나길 75","202508~202608","신규","-","","","연립다세대"
"4","부산광역시 해운대구 중동","846-1","0846","0001","티아모17","전세","23.9900","202508","14","11,000","0","4","2021","좌동순환로468번가길 21","202508~202708","신규","-","","","연립다세대"
"5","부산광역시 부산진구 개금동","615-11","0615","0011","엘케이펠리스","월세","25.3400","202508","14","2,000","50","10","2018","엄광로 21","202508~202708","신규","-","","","연립다세대"
"6","부산광역시 서구 동대신동1가","16-180","0016","0180","태창빌라2차","월세","47.7200","202508","14","500","35","4","1999","보동길 189-3","202509~202708","신규","-","","","연립다세대"
"7","부산광역시 서구 부용동2가","30-10","0030","0010","더휴","월세","13.7200","202508","14","500","34","5","2012","부용로 40","202508~202601","신규","-","","","연립다세대"
"8","부산광역시 부산진구 양정동","359-4","0359","0004","유림캐슬","월세","16.2500","202508","14","2,000","42","6","2017","거제천로9번길 15","202508~202608","신규","-","","","연립다세대"
"9","부산광역시 남구 용호동","418-1","0418","0001","동아빌라","전세","68.5000","202508","14","12,000","0","3","1993","동명로 88","202509~202709","신규","-","","","연립다세대"
"10","부산광역시 부산진구 양정동","359-4","0359","0004","유림캐슬","월세","15.8400","202508","14","200","47","8","2017","거제천로9번길 15","202508~202608","신규","-","","","연립다세대"
"11","부산광역시 남구 대연동","639-1","0639","0001","대박하우스정","월세","15.2100","202508","14","500","28","3","2011","유엔로201번길 31","202508~202608","신규","-","","","연립다세대"
"12","부산광역시 동구 초량동","278-1","0278","0001","초원빌","월세","15.9900","202508","14","200","29","3","1989","초량로25번길 6","202508~202608","신규","-","","","연립다세대"
"13","부산광역시 북구 구포동","915-28","0915","0028","하승메르디앙","전세","23.4700","202508","14","7,800","0","7","2019","백양대로1016번가길 33","202509~202709","신규","-","","","연립다세대"
"14","부산광역시 부산진구 양정동","354-30","0354","0030","누리마루","월세","23.4500","202508","14","2,000","35","3","2012","중앙대로910번길 20","202508~202702","신규","-","","","연립다세대"
"15","부산광역시 수영구 수영동","449-2","0449","0002","유성빌","월세","16.4400","202508","14","200","26","4","2010","연수로401번길 16","202508~202608","신규","-","","","연립다세대"
"16","부산광역시 부산진구 개금동","527-88","0527","0088","그린하우스","월세","17.0000","202508","14","2,000","22","4","2012","가야대로424번길 75-4","202508~202608","신규","-","","","연립다세대"
"17","부산광역시 부산진구 개금동","177-339","0177","0339","채움빌리지","월세","17.9700","202508","14","2,000","33","7","2019","복지로13번길 12-5","202508~202608","신규","-","","","연립다세대"
"18","부산광역시 부산진구 양정동","142-9","0142","0009","편한세상빌","월세","17.9000","202508","14","300","30","4","2011","중앙대로970번가길 28","202508~202608","신규","-","","","연립다세대"
"19","부산광역시 부산진구 가야동","551-2","0551","0002","조은빌","월세","15.3600","202508","14","2,000","15","4","2009","가야공원로63번길 65","202508~202708","신규","-","","","연립다세대"
"20","부산광역시 연제구 연산동","1498-20","1498","0020","마이빌","월세","17.1300","202508","14","400","35","4","2012","신촌로 29-1","202508~202608","신규","-","","","연립다세대"
"21","부산광역시 부산진구 가야동","644-25","0644","0025","마이크로하우스","월세","13.6000","202508","14","300","31","5","2012","냉정로 248","202508~202608","신규","-","","","연립다세대"
