"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","부산광역시 기장군 정관읍 매학리","718-1","0718","0001","우성스마트시티","27.1612","202508","14","4,250","10","개인","개인","2012","정관6로 3","-","중개거래","부산 기장군"
"2","부산광역시 해운대구 중동","1757","1757","0000","하모니타워마브러스","54.6445","202508","14","25,700","23","개인","개인","2018","해운대로 723","-","중개거래","부산 해운대구"
"3","부산광역시 해운대구 송정동","442-3","0442","0003","화이바비치텔","35.0700","202508","14","16,800","5","개인","개인","1997","송정광어골로 63","-","중개거래","부산 해운대구"
"4","부산광역시 해운대구 좌동","1475-2","1475","0002","투모로우 오피스텔","22.9870","202508","13","6,000","17","개인","개인","2017"," ","-","중개거래","부산 해운대구"
"5","부산광역시 해운대구 좌동","1473-1","1473","0001","해운대대림아크로텔","28.9150","202508","12","5,300","18","개인","개인","2004","해운대로 790","-","중개거래","부산 해운대구"
"6","부산광역시 동래구 온천동","1412-1","1412","0001","온천동반도보라스카이뷰","29.9450","202508","12","6,500","24","개인","개인","2006","아시아드대로 234","20250813","중개거래","부산 동래구"
"7","부산광역시 수영구 광안동","98-1","0098","0001","수영역 삼정그린코아 더시티","25.2100","202508","12","11,000","3","개인","개인","2020","수영로666번길 6","-","중개거래","부산 수영구"
"8","부산광역시 사상구 주례동","692-10","0692","0010","귀한오피스텔","21.2500","202508","12","2,000","3","개인","개인","2004","사상로 27","-","중개거래","부산 사상구"
"9","부산광역시 동래구 온천동","1412-1","1412","0001","온천동반도보라스카이뷰","29.9450","202508","12","6,500","24","개인","개인","2006","아시아드대로 234","-","중개거래","부산 동래구"
"10","부산광역시 해운대구 반여동","1685","1685","0000","센텀우성스마트시티뷰","84.9167","202508","11","27,900","6","개인","개인","2020","선수촌로 146-4","-","중개거래","부산 해운대구"
"11","부산광역시 해운대구 좌동","1476-1","1476","0001","해운대 베르나움","28.3050","202508","11","6,000","20","개인","개인","2014"," ","-","중개거래","부산 해운대구"
"12","부산광역시 서구 부민동1가","6-1","0006","0001","스카이파크 빌딩","23.7300","202508","11","5,300","9","개인","개인","2011","구덕로 224","-","중개거래","부산 서구"
"13","부산광역시 동구 범일동","830-140","0830","0140","동일타워","29.6400","202508","11","7,300","30","개인","개인","2014","조방로 14","-","직거래","-"
"14","부산광역시 부산진구 양정동","397-1","0397","0001","양정역 퀸즈팰리스","29.8100","202508","11","8,500","5","개인","개인","2017"," ","-","중개거래","부산 부산진구"
"15","부산광역시 해운대구 우동","777","0777","0000","해운대 한신 휴플러스","26.4428","202508","11","5,300","4","개인","법인","2014","해운대로 550","-","중개거래","부산 해운대구"
"16","부산광역시 해운대구 우동","643-1","0643","0001","한양수자인 마린 오피스텔","27.2840","202508","11","9,600","15","법인","개인","2013","해운대로570번길 17","-","중개거래","부산 해운대구"
"17","부산광역시 해운대구 반여동","1685","1685","0000","센텀우성스마트시티뷰","84.9167","202508","11","27,900","6","개인","개인","2020","선수촌로 146-4","20250811","중개거래","부산 해운대구"
"18","부산광역시 동구 범일동","1664","1664","0000","두산위브더제니스 하버시티","29.9146","202508","09","10,300","11","개인","개인","2023"," ","-","중개거래","부산 동구"
"19","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.5500","202508","08","3,900","2","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"20","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.9300","202508","08","3,900","20","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"21","부산광역시 해운대구 우동","1434-2","1434","0002","해운대현대하이페리온","183.7483","202508","08","153,000","30","개인","개인","2006","마린시티1로 155","-","중개거래","부산 해운대구"
"22","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.9300","202508","08","3,900","23","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"23","부산광역시 북구 화명동","892","0892","0000","프라임시티","59.9700","202508","08","13,500","7","법인","개인","2015","금곡대로200번길 31","-","중개거래","부산 북구"
"24","부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","23.6182","202508","08","4,500","11","개인","개인","2015","명지오션시티9로 50","-","중개거래","부산 강서구"
"25","부산광역시 동구 범일동","1664","1664","0000","두산위브더제니스 하버시티","29.9146","202508","08","10,500","7","개인","개인","2023"," ","-","중개거래","부산 동구"
"26","부산광역시 동구 초량동","1201-1","1201","0001","아스티부산","22.6600","202508","08","10,540","10","법인","개인","2017","중앙대로214번길 7-8","-","중개거래","부산 동구, 부산 서구"
"27","부산광역시 연제구 연산동","1143-2","1143","0002","성우 로하스 캐슬","27.9900","202508","08","9,500","17","개인","개인","2017"," ","-","중개거래","부산 연제구"
"28","부산광역시 부산진구 부전동","525-3","0525","0003","서면베르빌","24.4000","202508","08","5,050","23","개인","개인","2004","부전로 43","-","중개거래","부산 부산진구"
"29","부산광역시 동래구 온천동","1422-23","1422","0023","Z1 TOWER","52.0200","202508","08","13,300","12","개인","개인","2015","아시아드대로 256-5","-","중개거래","부산 동래구"
"30","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,750","12","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"31","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","11","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"32","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","11","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"33","부산광역시 동래구 온천동","1750-33","1750","0033","프리존오피스텔","26.0300","202508","07","6,000","11","개인","개인","2004","온천장로 14","20250811","중개거래","부산 동래구"
"34","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","10","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"35","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,650","10","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"36","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","10","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
