규모,동수,조감도 이미지 파일경로,위치도 이미지 파일경로,전경 이미지 파일경로,위치,시공자,감리자,세대수,용적율,배치도 이미지 파일경로,설계자,구역명,건폐율,정비사업전문관리업체,사업주체,조합 추진위원회 연락처,구역면적,전화번호,추진현황 id,사업추진단계,조합원수,입출금공개건수
"지하3층/지상 28층 연면적 96,355㎡",0,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070221146380.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070221146350.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070221146040.jpg,"부산광역시 해운대구 반여로21, 2층(반여동)",(주)kcc건설,(주)신한종합건축사사무소,0,0,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070221146230.jpg,(주)엠엔드이,반여1-1 재개발,0,(주)삼영,반여1-1 재개발,051-522-1957,28583,051-522-1957,BARA_0000000000018,해제,0,59
"지하2층/지상 28층, 연면적 110,203.8831㎡",8,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070246534440.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070246534410.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070246534140.jpg,"부산광역시 해운대구 반여로 66, 4층(반여동, 한화빌딩)",SK건설,미정,0,277.07,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811070246534180.jpg,"앙코르, 신성",반여1-2 재개발,22.91,코리아엘리,반여1-2 주택재개발,051-525-6647,26847.4,051-525-6647,BARA_0000000000019,준공,0,111
지하2층/지상35층,13,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200448568240.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200448568220.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200448568160.jpg,"부산광역시 해운대구 선수촌로 65-29, 4층",DL이앤씨,미정,915,270,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200448568190.jpg,미정,반여3 재건축,0,세웅R&C,반여3 재건축정비사업,051-532-9926,44610,051-532-9926,BARA_0000000000028,조합설립인가,798,22
지하2층/지상35층,7,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204200356096530.JPG,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204200356096670.JPG,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204200356095950.JPG,"부산광역시 해운대구 반여로 21, 경성빌딩 4층",현대건설,미정,513,286.81,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204200356096790.JPG,미정,반여3-1 재건축,15.19,(주)경성,반여3-1 재건축,051-522-8900,40955,051-522-8900,BARA_0000000030000,사업시행계획인가,513,59
"지하3층/지상36층 연면적 83,193.4153㎡",5,http://dynamice.busan.go.kr/data/busi_ara/BARA_202102011201365900.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110946071580.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110946071490.jpg,"부산광역시 해운대구 삼어로91번길 120-21, 2층",(주)DL이앤씨,미정,536,265.31,http://dynamice.busan.go.kr/data/busi_ara/BARA_202102011201365660.jpg,(주)영탑종합건축사,반여4 재건축,18.44,(주)세웅 R&C,반여4구역주택재건축,051-526-2239,23512,051-526-2239,BARA_0000000000302,관리처분계획,395,55
"지하5층 , 지상49층",6,http://dynamice.busan.go.kr/data/busi_ara/BARA_202303060158568110.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202303060158568640.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202303060158567890.png,부산광역시 동구 범일일길 33,롯데건설,미정,1456,846.95,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080400165490.jpg,상지,범일2 재개발,59.25,우영HD,범일2 재개발정비구역,051-632-5990,40255,051-632-5990,BARA_0000000000162,관리처분계획,405,45
"지하 4층/지상 49층 연면적 154,692.107㎡",4,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080645532170.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080645532150.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080645531700.jpg,부산광역시 동구 자성로141번길 11 (삼환오피스텔 703호),DL건설& DL이앤씨,길종합건축사,856,742.54,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080645531750.jpg,신도시,범일3 재개발,39.32,탑디엔씨,범일3 도시환경정비구역,051-631-0219,17537.8,051-631-0219,BARA_0000000000024,착공,472,107
"지하4층, 지상 49층, 연면적 64,714.136㎡",2,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080943021980.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080943021900.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080943021600.jpg,부산광역시 동구 조방로26번길 11 (동양오피스텔 502호),우미건설,미정,368,837.81,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811080943021640.jpg,"진양, 시앤티",범일3-1 재개발,41.04,(주)정일마스터플랜,범일3-1 도시환경정비구역,051-637-3132,6119,051-637-3132,BARA_0000000000163,관리처분계획,154,103
,3,http://dynamice.busan.go.kr/data/busi_ara/BARA_202311100330248540.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202311100330248820.png,http://dynamice.busan.go.kr/data/busi_ara/,부산시 동구 범일동 330-190번지 일원,미정,미정,754,996.94,http://dynamice.busan.go.kr/data/busi_ara/BARA_202311100331066910.jpg,미정,범일동 가로주택정비,49.54,미정,범일동,051-632-0334,9588.30,051-632-0334,BARA_0000000030120,조합설립인가,144,0
"지하4층/지상26층, 공동주택 226세대, 오피스텔 138호",2,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204200500061710.jpg,http://dynamice.busan.go.kr/data/busi_ara/,동구 범일동 830-44번지 일원,동원개발,미정,226,975.43,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204200500061830.jpg,상지,범일동 제일상가아파트 가로주택정비,70.29,우영HD,범일동 제일상가아파트 가로구역,051-637-1237,3198.10,051-637-1237,BARA_0000000030041,건축심의 및 통합심의,89,22
